lyric_id,slug,lyrics,is_active,creation_date,last_modified
lyric_id,slug,lyrics,is_active,creation_date,last_modified
1,NULL,"We're tenting tonight on the old camp ground;<br />
Give us a song to cheer<br />
Our weary hearts, and a song of home<br />
And friends we loved so dear.<br /><br />

<strong>Chorus:</strong><br />
Many are the hearts that are weary tonight,<br />
Wishing for the war to cease;<br />
Many are the hearts that are looking for the right<br />
To see the dawn of peace.<br />
Tenting tonight, tenting tonight, tenting on the old camp ground. <br /><br />

We've been tenting tonight on the old camp ground,<br />
Thinking of days gone by,<br />
Of the loved ones at home that gave us the hand,<br />
And the tear that said, &quot;Goodbye!&quot;<br /><br />

<strong>Chorus</strong><br /><br />

We've been fighting tonight on the old camp ground,<br />
And many are lying near:<br />
Some are dead, and some are dying,<br />
And many are in tears.<br /><br />

<strong>Chorus</strong><br /><br />

We are tired of war on the old camp ground;<br />
Many are dead and gone<br />
Of the brave and true who've left their homes,<br />
Others wounded long ago.<br /><br />

<strong>Chorus</strong><br /><br />",1,2014-12-05 19:13:54,2014-12-13 15:04:33
2,NULL,"Oh, we'll rally round the flag, boys,<br />
We'll rally once again,<br />
Shouting the battle cry of Freedom;<br />
And we'll rally from the hillside,<br />
We'll gather from the plain,<br />
Shouting the battle cry of Freedom.<br /><br />

<strong>Chorus:</strong><br />
The Union forever,<br />
Hurrah! Boys, hurrah!<br />
Down with the traitor,<br />
And up with the stars;<br />
And we'll rally round the flag, boys,<br />
Rally once again,<br />
Shouting the battle cry of Freedom.<br /><br />

We are springin' to the call<br />
Of our brothers gone before,<br />
Shouting the battle cry of Freedom;<br />
And we'll fill their vacant ranks with<br />
A million free men more,<br />
Shouting the battle cry of Freedom.<br /><br />

<strong>Chorus</strong><br /><br />

We will welcome to our numbers<br />
Of loyal, true, and brave,<br />
Shouting the battle cry of Freedom;<br />
And, although they may be poor,<br />
Not a man shall be a slave,<br />
Shouting the battle cry of Freedom.<br /><br />

<strong>Chorus</strong><br /><br />

Springing to the call<br />
From the East and from the West,<br />
Shouting the battle cry of Freedom;<br />
And we'll hurl the rebel crew<br />
From the land we love the best,<br />
Shouting the battle cry of Freedom.<br /><br />

<strong>Chorus</strong><br /><br />

Shouting the battle cry of Freedom.",1,2014-12-05 19:13:54,2014-12-05 19:13:54
3,NULL,<strong>Instrumental Track</strong>,1,2014-12-05 19:13:54,2014-12-13 14:35:33
4,NULL,"When Johnny comes marching home again,<br />
Hurrah! Hurrah!<br />
We'll give him a hearty welcome then,<br />
Hurrah! Hurrah!<br />
The boys will cheer, and the men will shout,<br />
And, the ladies, they will all turn out;<br />
And we'll all feel gay<br />
When Johnny comes marching home.<br /><br />

The old church bell will peal with joy,<br />
Hurrah! Hurrah!<br />
To welcome home our darlin' boy,<br />
Hurrah! Hurrah!<br />
The village lads and lassies say<br />
With roses they will strew the way,<br />
And we'll all feel gay<br />
When Johnny comes marching home.<br /><br />

Get ready for the Jubilee,<br />
Hurrah! Hurrah!<br />
We'll give the hero three times three,<br />
Hurrah! Hurrah!<br />
The laurel wreath is ready now<br />
To place upon his loyal brow,<br />
And we'll all feel gay<br />
When Johnny comes marching home.<br /><br />

Let love and friendship on that day,<br />
Hurrah! Hurrah!<br />
Their choicest treasures then display,<br />
Hurrah! Hurrah!<br />
And let each one perform some part<br />
To fill with joy the warrior's heart,<br />
And we'll all feel gay<br />
When Johnny comes marching home.<br /><br />

In eighteen hundred and sixty one<br />
For bowls, for bowls,<br />
In eighteen hundred and sixty one<br />
For bowls, says I,<br />
In eighteen hundred and sixty one<br />
Abe Lincoln went to Washington.<br /><br />

<strong>Chorus:</strong><br />
And we'll all drink stone blind,<br />
Johnny fill up the bowl!<br /><br />

In eighteen hundred and sixty two<br />
For bowls, for bowls,<br />
In eighteen hundred and sixty two<br />
For bowls, said I,<br />
In eighteen hundred and sixty two<br />
Old Abe, he put the rebellion through.<br /><br />

<strong>Chorus</strong><br /><br />

In eighteen hundred and sixty three<br />
For bowls, for bowls,<br />
In eighteen hundred and sixty three<br />
For bowls, says I,<br />
In eighteen hundred and sixty three<br />
Old Abe, he set the darkies free.<br /><br />

<strong>Chorus</strong><br /><br />

In eighteen hundred and sixty four<br />
For bowls, for bowls,<br />
In eighteen hundred and sixty four<br />
For bowls, says I,<br />
In eighteen hundred and sixty four,<br />
Old Abe, he calleed for a million more.<br /><br />

<strong>Chorus</strong><br /><br />

In eighteen hundred and sixty five<br />
For bowls, for bowls,<br />
In eighteen hundred and sixty five<br />
For bowls, says I,<br />
In eighteen hundred and sixty five<br />
John Wilkes Booth took the Lincoln's life.<br /><br />

<strong>Chorus</strong>",1,2014-12-05 19:13:54,2014-12-05 19:13:54
5,NULL,"Well, you oughta see my Cindy.<br />
She lives here way down South.<br />
She's so sweet, honey bees,<br />
They swarm around her mouth.<br /><br />

When first I saw my Cindy<br />
A-standing in the door,<br />
Her shoes and stockings in her hand,<br />
And her boots spread 'round the floor.<br /><br />

<strong>Chorus:</strong><br />
Get along home, Cindy, Cindy.<br />
Get along home, Cindy, Cindy.<br />
Get along home, Cindy, Cindy.<br />
I'll marry you some day.<br /><br />

Well, I wish I was an apple<br />
A-hanging on a tree,<br />
And every time my Cindy passed<br />
She'd take a bite a of me;<br /><br />

Or if I was made o' sugar,<br />
Standing in the town,<br />
An'every time my Cindy passed<br />
She'd take some sugar down.<br /><br />

<strong>Chorus</strong><br /><br />

Well, my Cindy got religion.<br />
She had it once before,<br />
But, when she heard my old banjo,<br />
She jumped down on the floor.<br /><br />

She took me to her parlor,<br />
She cooled me with her fan,<br />
She said I was the prettiest thing<br />
In the shape of a mortal man.<br /><br />

<strong>Chorus</strong><br /><br />

Now, my Cindy is a sweet girl;<br />
My Cindy, she's a peach.<br />
She threw her arms around me,<br />
And she hung on like a leech.<br />

She kissed me and she hugged me;<br />
She called me sugar plum.<br />
She hugged so tight I could hardly breathe—<br />
I thought my time had come!<br /><br />

<strong>Chorus</strong><br /><br />

If I had a thread and needle,<br />
If I knew how to sew,<br />
I'd sew that gal to my coat tails,<br />
And down the road I'd go.<br />

I want my Cindy, Cindy—<br />
Her lips, her arms, her feet!<br />
I ain't never seen another gal<br />
My Cindy could compete.<br /><br />

<strong>Chorus (x2)</strong>",1,2014-12-05 19:13:54,2014-12-05 19:13:54
6,NULL,"Well, I come from Alabama, with my banjo on my knee,<br />
And I'm goin' to Louisiana my true love for to see.<br />
Well, it rained all night the day I left;<br />
The weather it was dry;<br />
And the sun so hot, I froze to death.<br />
Susanna, don't you cry!<br /><br />

<strong>Chorus:</strong><br />
Oh, Susanna! Don't you cry for me.<br />
I've come from Alabama, with my banjo on my knee.<br /><br />

When I jumped aboard the telegraph,<br />
And trabbelled down the ribber,<br />
Th' electric fluid magnified,<br />
And killed five hundred chigger.<br />
When the bullgine bust, the horse ran off,<br />
I really thought I'd die.<br />
So I shut my eyes to hold my breath.<br />
Susanna, don't you cry!<br /><br />

<strong>Chorus</strong><br /><br />

Now, I had a dream de other night,<br />
When ev'rything was still,<br />
And I thought I saw Susanna,<br />
She was runnin' down a hill.<br />
Now de buckwheat cake was in her mouth,<br />
And a tear was in her eye,<br />
So I said, &quot;I'm coming from de South.<br />
Susanna, don't you cry!&quot;<br /><br />

<strong>Chorus</strong><br /><br />

Now, I soon will be in New Orleans,<br />
And then I'll look around;<br />
When at last I find Susanna,<br />
I will fall upon the ground.<br />
But if I can never find her,<br />
Then I think I'll surely die,<br />
When I'm dead and gone and buried,<br />
Please, Susanna, don't you cry!<br /><br />

<strong>Chorus (x2)</strong>
",1,2014-12-05 19:13:54,2014-12-05 19:13:54
7,NULL,"I wanted much to go to war<br />
And went to be examined.<br />
The surgeon looked me o'er and o'er;<br />
My back and chest he hammered.<br />
Said he, &quot;You're not the man for me,<br />
Your lungs are much affected,<br />
And likewise both your eyes are cock'd,<br />
And otherwise defected.&quot;<br /><br />

<strong>Chorus:</strong><br />
So, now I'm with the invalids,<br />
And cannot go and fight, sir!<br />
The doctor told me so, you know,<br />
Of course it must be right, sir!<br /><br />

While I was there, a host of chaps<br />
For reasons were exempted.<br />
Old Pursy, he was laid aside;<br />
To pass he had attempted.<br />
The doctor said, &quot;I do not like<br />
Your corporosity, sir!<br />
You'll breed a famine in the camp<br />
Wherever you might be, sir!&quot;<br /><br />

<strong>Chorus</strong><br /><br />

There came a fellow, mighty tall,<br />
A knock-kneed overgrowner,<br />
And, oh!, the Doctor said, &quot;I got no time<br />
To take and look you over.&quot;<br />
Next came along a little chap,<br />
Who stood about two foot nothing;<br />
The Doctor said, &quot;You'd better go<br />
And tell your mommy you are comin'!&quot;<br /><br />

<strong>Chorus 2:</strong><br />
So, now their with the invalids,<br />
And cannot go and fight, sir!<br />
The doctor told 'em so, you know,<br />
Of course it must be right, sir!<br /><br />

Some had the ticerdolerreou,<br />
Some what they call &quot;brown critters,&quot;<br />
And some were &quot;lank and lazy&quot; too,<br />
And some too &quot;fond of bitters.&quot;<br />
Some had peg legs and one one eye,<br />
Their backs were tall and crooked.<br />
You would have laugh'd till you had died<br />
To see how &quot;cute&quot; they look-ed.<br /><br />

<strong>Chorus 2</strong>",1,2014-12-05 19:13:54,2014-12-13 15:00:15
8,NULL,"As I was a-lumberin' down de street,<br />
Down de street, down de street,<br />
A handsome gal I chanced to meet,<br />
She was fair to view.<br /><br />

<strong>Chorus:</strong><br />
Buffalo Gals, won't you come out tonight,<br />
Come out tonight, come out tonight.<br />
Buffalo Gals, won't you come out tonight<br />
And dance by the light of the moon.<br /><br />

I asked her if she'd have a talk,<br />
Have a talk, have a talk,<br />
Her feet took up the whole sidewalk<br />
As she stood close to me.<br /><br />

<strong>Chorus</strong><br /><br />

I asked her if you want to dance<br />
Wanna dance, wanna dance<br />
I thought that I would have a chance<br />
To shake the foot with her.<br /><br />

<strong>Chorus</strong><br /><br />

Oh, I danced with a gal with a hole in her stockin',<br />
And her hip kept a-rockin', and her toe kept a-nockin'.<br />
I danced with a gal with a hole in her stockin',<br />
And we danced by the light of the moon.<br /><br />

<strong>Chorus</strong><br /><br />

I wanna make that gal my wife,<br />
Gal my wife, gal my wife,<br />
Then I'd be happy all my life<br />
If I had her with me.<br /><br />

<strong>Chorus</strong>",1,2014-12-05 19:13:54,2014-12-05 19:13:54
9,NULL,"Say, darkey, hab you seen de massa,<br />
Wid de muffstash on his face,<br />
Runnin' de road some time dis mornin',<br />
Like he gwine to leab de place?<br />
He seen de smoke way up de ribber,<br />
Whar de Linkun gunboats lay;<br />
He nabbed his hat, and lef' berry sudden,<br />
And I spec' he's run away!<br /><br />

<strong>Chorus:</strong><br />
De massa run, ha, ha! De darkies stay, ho, ho!<br />
It mus' be now de kingdom coming, an' de year ob Jubilo!<br /><br />

He six foot one way, two foot the other,<br />
And he weigh tree hundred pound;<br />
His coat so big, he couldn't pay the tailor,<br />
An' it don't go halfway round.<br />
He drill so much dey call him Cap'n,<br />
An' he get so dreadful tanned,<br />
I spec' he try an' fool dem Yankees<br />
For to tink he's contraband.<br /><br />

<strong>Chorus</strong><br /><br />

De darkies get so lonesome libbing<br />
In de loghouse on de lawn.<br />
Dey move their things into massa's parlor<br />
For to keep it while he's gone.<br />
Dar's wine an' cider in de kitchen,<br />
So de darkeys dey'll have some;<br />
Now I spec' it'll all be confiscated<br />
When de Linkun Sojers come.<br /><br />

<strong>Chorus</strong><br /><br />

De obserseer he'll cause us trouble,<br />
An' he run us round a spell;<br />
Oh,we'll lock him in de smokehouse cellar,<br />
With de key thrown down de well.<br />
De whip is lost, de han'cuffs are broken,<br />
But de massa'll hab his pay;<br />
He's old enough, big enough, shoulda known better<br />
Den to go an' run away.<br /><br /> 

<strong>Chorus (x2)</strong>",1,2014-12-05 19:13:54,2014-12-05 19:13:54
