song_id,slug,title,track_number,song_length,is_active,creation_date,last_updated
song_id,slug,title,track_number,song_length,is_active,creation_date,last_updated
1,tenting,Tenting on the Old Camp Ground,1,264,1,2014-12-15 12:02:53,2014-12-15 12:02:53
2,battlecry,Battle Cry of Freedom,2,205,1,2014-12-15 12:02:53,2014-12-15 12:02:53
3,cavalierswaltz,Cavalier's Waltz,3,102,1,2014-12-15 12:02:53,2014-12-15 12:02:53
4,johnny,When Johnny Comes Marching Home Again,4,207,1,2014-12-15 12:02:53,2014-12-15 12:02:53
5,cindy,Cindy,5,186,1,2014-12-15 12:02:53,2014-12-15 12:02:53
6,susanna,Oh! Susanna,6,168,1,2014-12-15 12:02:53,2014-12-15 12:02:53
7,invalid,Invalid Corps,7,162,1,2014-12-15 12:02:53,2014-12-15 12:02:53
8,buffalo,Buffalo Gals,8,173,1,2014-12-15 12:02:53,2014-12-15 12:02:53
9,kingdomcoming,Kingdom Coming,9,170,1,2014-12-15 12:02:53,2014-12-15 12:02:53
10,bonnieblue,Bonnie Blue Flag,10,282,1,2014-12-15 12:02:53,2014-12-15 12:02:53
11,jinethecalvary,Jine the Calvary,11,167,1,2014-12-15 12:02:53,2014-12-15 12:02:53
12,ringdebanjo,Ring De Banjo,12,217,1,2014-12-15 12:02:53,2014-12-15 12:02:53
13,roseofalabama,Rose of Alabama,13,209,1,2014-12-15 12:02:53,2014-12-15 12:02:53
14,camptown,Camptown Races,14,233,1,2014-12-15 12:02:53,2014-12-15 12:02:53
15,gooberpeas,Goober Peas,15,135,1,2014-12-15 12:02:53,2014-12-15 12:02:53
16,cumberland,Cumberland Gap,16,246,1,2014-12-15 12:02:53,2014-12-15 12:02:53
17,sweetbetsy,Sweet Betsy from Pike,17,238,1,2014-12-15 12:02:53,2014-12-15 12:02:53
18,lorena,Lorena,18,246,1,2014-12-15 12:02:53,2014-12-15 12:02:53
19,vacantchair,The Vacant Chair,19,266,1,2014-12-15 12:02:53,2014-12-15 12:02:53
20,richmond,Richmond Is a Hard Road,20,374,1,2014-12-15 12:02:53,2014-12-15 12:02:53
21,nellybly,Nelly Bly,1,205,1,2014-12-15 12:02:53,2014-12-15 12:02:53
22,hardcrackers,Hard Crackers Come Again No More,2,246,1,2014-12-15 12:02:53,2014-12-15 12:02:53
23,stonewalljacksonsway,Stonewall Jackson's Way/Garryowen,3,200,1,2014-12-15 12:02:53,2014-12-15 12:02:53
24,listenmockingbird,Listen to the Mockingbird/Siege of Vicksburg,4,239,1,2014-12-15 12:02:53,2014-12-15 12:02:53
25,amazinggrace,Amazing Grace,5,240,1,2014-12-15 12:02:53,2014-12-15 12:02:53
26,claredekitchen,Clare de Kitchen,6,220,1,2014-12-15 12:02:53,2014-12-15 12:02:53
27,keltonsreel,Kelton's Reel/Waiting for the Federals,7,434,1,2014-12-15 12:02:53,2014-12-15 12:02:53
28,oldkentucky,My Old Kentucky Home,8,337,1,2014-12-15 12:02:53,2014-12-15 12:02:53
29,yellowrose,The Yellow Rose of Texas,9,248,1,2014-12-15 12:02:53,2014-12-15 12:02:53
30,southronbattlecry,Southron's Battle Cry of Freedom,10,254,1,2014-12-15 12:02:53,2014-12-15 12:02:53
31,minstrelboy,The Minstrel Boy,11,172,1,2014-12-15 12:02:53,2014-12-15 12:02:53
32,southrontramp,Southron's Tramp! Tramp! Tramp!,12,203,1,2014-12-15 12:02:53,2014-12-15 12:02:53
33,jimalongjosie,Jim Along Josie,13,172,1,2014-12-15 12:02:53,2014-12-15 12:02:53
34,sweetevalina,Sweet Evalina,14,214,1,2014-12-15 12:02:53,2014-12-15 12:02:53
